Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
DECANATO DE DESARROLLO ACADÉMICO;FORTALECER LOS CONOCIMIENTOS DEL PERSONAL ACADEMICO EN AREAS COMO LA PEDAGOGIA, DIDACTICA, TICS Y CURSOS ESPECIFICOS;CAPACITACION INTERNA CON PRESUPUESTO;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DECANATO ACADÉMICO;FORTALECER LA GESTION ADMINISTRATIVA DEL DECANATO ACADEMICO.;INFORME CONSOLIDADO DE AUDITORIAS ACADEMICAS ESPECIALES DE GRADO EJECUTADAS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;CALENDARIO ACADEMICO INSTITUCIONAL;100%;
;;INFORMES DE SEGUIMIENTO AL PROCESO DE TITULACION DE GRADO Y POSGRADO;100%;
;;INFORME DE INDICADORES DE GESTION ACADEMICA;100%;
DECANATO DE TELEEDUCACIÓN;GENERAR COMPETENCIAS DEL PERSONAL ACADÉMICO DE LA ESPOCH EN EL DISEÑO INSTRUCCIONAL DE ASIGNATURAS Y/O CURSOS EN MODALIDADES DE ESTUDIO HÍBRIDA Y EN LÍNEA, ASÍ COMO PARA LA VIRTUALIZACIÓN DE CONTENIDO PARA GENERAR EXPERIENCIAS DE APRENDIZAJE EFECTIVAS Y ADAPTADAS A LAS NECESIDADES DEL CONTEXTO DIGITAL;NUMEROS DE CURSOS / TALLER EJECUTADOS;2;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;NÚMERO DE ASESORÍAS REALIZADAS;100%;
DIRECCIÓN DE ADMISIÓN Y NIVELACIÓN;FORTALECER LOS PROCESOS DE GESTION ACADÉMICA - ADMINISTRATIVA DE LA DIRECCIÓN DE ADMISIÓN Y NIVELACIÓN;CUPOS ACEPTADOS;70%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;CUPOS ASIGNADOS;80%;
;;CUPOS OFERTADOS;100%;
COORDINACIÓN DE IDIOMAS;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;ESTUDIANTES CON CERTIFICACION INTERNACIONAL;70%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;CARGAS HORARIAS ORGANIZADAS;4;
VICERRECTORADO DE INVESTIGACIÓN Y POSGRADO;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH;BECAS DE POSGRADO ASIGNADAS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;CONCURSO INTERNO DE BECAS DE POSGRADO;100%;
DECANATO DE INVESTIGACIONES;GESTIONAR EL DESARROLLO SOSTENIBLE DE LAS POBLACIONES Y TERRITORIOS VINCULADOS AL SISTEMA VIAL ANDINO DEL QHAPAQ ÑAN (SECCIÓN NIZAG) MEDIANTE LA SALVAGUARDA DEL PATRIMONIO CULTURAL Y MEMORIA SOCIAL.;PLAN DE SALVAGUARDIA DEL PATRIMONIO CULTURAL INMATERIAL ASOCIADO AL SISTEMA VIAL ANDINO DEL QHAPAQ ÑAN - SECCIÓN NIZAG;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;PARA EL SEGUNDO AÑO DE EJECUCIÓN DEL PROYECTO SE CUENTA CON EL REGISTRO DE LA AGROBIODIVERSIDAD PATRIMONIO ALIMENTARIO DE NIZAG;100%;
DECANATO DE PUBLICACIONES;APOYAR A DOCENTES E INVESTIGADORES DE LA ESPOCH CON LA PUBLICACION DE LA PRODUCCION CIENTIFICA;PUBLICACION DE PRODUCCION CIENTIFICA;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DECANATO DE INNOVACIÓN, EMPRENDIMIENTO Y TRANSFERENCIA DE TECNOLOGÍA;FOMENTAR LA PARTICIPACIÓN DE LA COMUNIDAD POLITÉCNICA EN ACTIVIDADES RELACIONADAS CON LA INNOVACIÓN, EMPRENDIMIENTO Y TRANSFERENCIA DE TECNOLOGÍA;EVENTOS QUE PROMUEVEN LA CULTURA DE LA INNOVACIÓN;2;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;IDEA ESPOCH INN CUBATE 2025;2;
;;GESTIÓN DE LA PROPIEDAD INTELECTUAL;5;
