Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
87;Especialista de Asesoria Juridica;1.Servicio Civil Publico (Losep);15979;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
88;Asistente de Talento Humano;1.Servicio Civil Publico (Losep);15511;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
89;Especialista Juridico 2;1.Servicio Civil Publico (Losep);15911;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
90;Secretaria;1.Servicio Civil Publico (Losep);15684;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
91;Asistente de Tecnologias de la Informacion y Comunicaciones.;1.Servicio Civil Publico (Losep);15831;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
92;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11385;Personal Academico Principal;4,064.84;48778.08;338.74;39.17;0;0;377.91
93;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11390;Personal Academico Principal;3,839.36;46072.32;319.95;39.17;0;0;359.12
94;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12640;Profesor Auxiliar;3,343.82;40125.84;278.65;39.17;0;0;317.82
95;Auditor Interno 3;1.Servicio Civil Publico (Losep);15984;Servidor Publico 9;2,034.00;24408;169.5;39.17;0;0;208.67
96;Especialista de Presupuesto 3;1.Servicio Civil Publico (Losep);15913;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
97;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11415;Personal Academico Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
