Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
80;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2166;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
81;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2122;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
82;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;18;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
83;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;17;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
84;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;4;AUTORIDADES ACADEMICAS NIVEL 1;4,300.00;4,300.00;358.33;40.17;0.00;0.00;4,698.50
85;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2129;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
86;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
87;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;13;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
88;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;19;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;2,882.60;240.22;40.17;0.00;0.00;3,162.99
89;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2120;AUTORIDADES ACADEMICAS NIVEL 1;4,999.05;4,999.05;416.59;40.17;0.00;0.00;5,455.81
