Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
66;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2124;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
67;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2133;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
68;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;24;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
69;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2470;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
70;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2123;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
71;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2167;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
72;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;16;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
73;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2137;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
74;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2119;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
75;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2126;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
76;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;14;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
77;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2128;AUTORIDADES ACADEMICAS NIVEL 1;2,882.60;5,765.20;480.44;80.33;0.00;0.00;6,325.97
