Numeración;Puesto Institucional;Régimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1241;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8509;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1242;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8513;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1243;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8557;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1244;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8641;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1245;Asistente De Laboratorio De Ensayo;1.Servicio Civil Publico (Losep);15932;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1246;Asistente De Tecnologias De La Informacion Y Comunicaciones;1.Servicio Civil Publico (Losep);15596;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1247;Asistente De Talento Humano;1.Servicio Civil Publico (Losep);15941;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1248;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8489;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1249;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8523;Personal De Apoyo (Universidades);230.07;2760.84;19.17;40.17;0;0;59.34
1250;Secretaria;1.Servicio Civil Publico (Losep);15593;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
1251;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8498;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1252;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8671;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1253;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8483;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1254;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);16036;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
1255;Analista De Capacitacion 2;1.Servicio Civil Publico (Losep);15827;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
1256;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12505;Personal Academico Agregado;4025.42;48305.04;335.45;40.17;0;0;375.62
1257;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12525;Profesor Auxiliar;3125.27;37503.24;260.44;40.17;0;0;300.61
1258;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8798;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
1259;Vicerrector De Docencia;3.Otros Regimenes Especiales;190;Autoridad Universitaria;4640.11;55681.32;386.68;40.17;0;0;426.85
1260;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12975;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1261;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12640;Profesor Auxiliar;3343.82;40125.84;278.65;40.17;0;0;318.82
1262;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11080;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1263;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;13190;Profesor Auxiliar;3343.82;40125.84;278.65;40.17;0;0;318.82
1264;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;14880;Profesor Agregado;4346.97;52163.64;362.25;40.17;0;0;402.42
1265;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;15220;Personal Academico Agregado;3463.99;41567.88;288.67;40.17;0;0;328.84
1266;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11370;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
1267;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;12695;Personal Academico Agregado;3744.7;44936.4;312.06;40.17;0;0;352.23
1268;Analista En Tratamiento De Equipos Especiales 2;1.Servicio Civil Publico (Losep);16038;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
1269;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8583;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1270;Asistente De Laboratorio De Ensayo;1.Servicio Civil Publico (Losep);15856;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
1271;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8762;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1272;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12870;Personal Academico Agregado;3744.7;44936.4;312.06;40.17;0;0;352.23
1273;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8602;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
1274;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8593;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1275;Coordinador(A) Tecnico De Analisis Sismico Y Volcanico;1.Servicio Civil Publico (Losep);4108;Coordinador;2115;25380;176.25;40.17;0;0;216.42
1276;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;12850;Profesor Principal;3744.83;44937.96;312.07;40.17;0;0;352.24
1277;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11390;Personal Academico Principal;3839.36;46072.32;319.95;40.17;0;0;360.12
1278;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11510;Personal Academico Principal;4159.06;49908.72;346.59;40.17;0;0;386.76
1279;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;12090;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1280;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;12195;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
1281;Ayudante De Servicios Administrativos;2.Codigo Del Trabajo;10765;Nivel 1;690.92;8291.04;57.58;40.17;0;0;97.75
1282;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;13125;Profesor Principal;4528.09;54337.08;377.34;40.17;0;0;417.51
1283;Profesor Principal Tiempo Completo;3.Otros Regimenes Especiales;13305;Personal Academico Principal;4121.39;49456.68;343.45;40.17;0;0;383.62
1284;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8728;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
1285;Tecnico De Investigaciones Aplicadas A Polimeros;1.Servicio Civil Publico (Losep);15507;Uep Nivel Profesional Apoyo Tecnico A4;994.09;11929.08;82.84;40.17;0;0;123.01
1286;Miembro Profesor Principal De La Comision De Evaluacion Interna;3.Otros Regimenes Especiales;3;Autoridad Universitaria;3996.04;47952.48;333;40.17;0;0;373.17
1287;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11750;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1288;Jefe De Departamento;3.Otros Regimenes Especiales;25;Autoridades Academicas Nivel 2;3996.04;47952.48;333;40.17;0;0;373.17
1289;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;12730;Personal Academico Auxiliar;2786.52;33438.24;232.21;40.17;0;0;272.38
1290;Analista De Contratacion Publica 2 De La Ugips;1.Servicio Civil Publico (Losep);4172;Uep Nivel Profesional A3;1412;16944;117.67;40.17;178.66;0;336.5
1291;Analista De Laboratorio De Ensayos 2;1.Servicio Civil Publico (Losep);4161;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
1292;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11835;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
1293;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;12295;Profesor Auxiliar;2786.52;33438.24;232.21;40.17;0;0;272.38
