CODIGOG3;DESCRIPCIONG2;DESCRIPCIONG3;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecuci?
530239 1705 003;BIENES Y SERVICIOS DE CONSUMO;Membrecias;0;34500;34500;0;0;0;0;34500;34500;0;0;189
530243 1705 002;BIENES Y SERVICIOS DE CONSUMO;Garantia Extendida de Bienes;0;750;750;0;0;0;0;750;750;0;0;189
530301 1705 002;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Interior;42824,7;11175,3;54000;0;9,55;0;0;53990,45;54000;0;0;189
530303 2301 001;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Interior;1965,5;-1965,5;0;0;0;0;0;0;0;0;0;189
530304 1705 001;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Exterior;32917,73;-31647,83;1269,9;0;0;0;0;1269,9;1269,9;0;0;189
530404 2301 003;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);200;-200;0;0;0;0;0;0;0;0;0;189
530417 0501 002;BIENES Y SERVICIOS DE CONSUMO;Infraestructura;0;0;0;0;0;0;0;0;0;0;0;189
530602 1705 002;BIENES Y SERVICIOS DE CONSUMO;Servicio de Auditoria;27876,69;5573,31;33450;0;0;0;0;33450;33450;0;0;189
530606 0501 003;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;198614,53;0;198614,53;0;0;0;0;198614,53;198614,53;0;0;189
530609 1705 003;BIENES Y SERVICIOS DE CONSUMO;Investigaciones Profesionales y Analisis de Laboratorio;2870,5;879,5;3750;0;0;0;0;3750;3750;0;0;189
530611 1705 001;BIENES Y SERVICIOS DE CONSUMO;Congresos Seminarios y Convenciones;5000;-5000;0;0;0;0;0;0;0;0;0;189
530612 1705 003;BIENES Y SERVICIOS DE CONSUMO;Capacitacion a Servidores Publicos;0;200000;200000;0;0;0;0;200000;200000;0;0;189
530702 1705 002;BIENES Y SERVICIOS DE CONSUMO;Arrendamiento y Licencias de Uso de Paquetes Informaticos;147596,37;-75973,87;71622,5;0;0;0;0;71622,5;71622,5;0;0;189
530702 1705 001;BIENES Y SERVICIOS DE CONSUMO;Arrendamiento y Licencias de Uso de Paquetes Informaticos;114449;-114449;0;0;0;0;0;0;0;0;0;189
530802 2301 001;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;3992,56;6007,44;10000;0;0;0;0;10000;10000;0;0;189
530802 0501 002;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;3000;0;3000;0;0;0;0;3000;3000;0;0;189
530812 1705 002;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;303,4;941,6;1245;0;0;0;0;1245;1245;0;0;189
530812 2301 001;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;0;1250;1250;0;0;0;0;1250;1250;0;0;189
530813 2301 001;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;22830,84;-630,84;22200;0;0;0;0;22200;22200;0;0;189
530814 1705 002;BIENES Y SERVICIOS DE CONSUMO;Suministros para Actividades Agropecuarias Pesca y Caza;14000,92;-8130,92;5870;0;0;0;0;5870;5870;0;0;189
530820 2301 001;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;0;140;140;0;0;0;0;140;140;0;0;189
530829 1705 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;0;13980,24;13980,24;0;0;0;0;13980,24;13980,24;0;0;189
530832 0501 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Odontologia;1500;0;1500;0;0;0;0;1500;1500;0;0;189
570102 0501 001;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;8000;0;8000;0;0;0;0;8000;8000;0;0;189
570102 0100 002;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;0;0;0;0;0;0;0;0;0;0;0;189
570102 0501 002;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;0;0;0;0;0;0;0;0;0;0;0;189
710204 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Decimo Cuarto Sueldo;1920;0;1920;0;40,17;40,17;0;1879,83;1879,83;40,17;2,09;189
710601 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Aporte Patronal;7749,26;0;7749,26;0;274,64;274,64;0;7474,62;7474,62;274,64;3,54;189
730204 1705 001;BIENES Y SERVICIOS PARA INVERSION;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;3067,58;1029,05;4096,63;0;0;0;0;4096,63;4096,63;0;0;189
730303 1705 001;BIENES Y SERVICIOS PARA INVERSION;Viaticos y Subsistencias en el Interior;800;0;800;0;0;0;0;800;800;0;0;189
730829 2301 001;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales Suministros y Bienes para Investigacion;0;350;350;0;0;0;0;350;350;0;0;189
840103 0501 002;EGRESOS DE CAPITAL;Mobiliarios;0;0;0;0;0;0;0;0;0;0;0;189
840107 1705 003;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;299608,16;-188819,28;110788,88;0;0;0;0;110788,88;110788,88;0;0;189
840107 0501 001;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;0;0;0;0;0;0;0;0;0;0;0;189
510204 0900 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;1410;-1410;0;0;0;0;0;0;0;0;0;189
510502 1700 003;EGRESOS EN PERSONAL;Remuneracion Unificada para Pasantes e Internos Rotativos de Salud;0;791,67;791,67;0;0;0;0;791,67;791,67;0;0;189
510509 1700 002;EGRESOS EN PERSONAL;Horas Extraordinarias y Suplementarias;0;0;0;0;0;0;0;0;0;0;0;189
510510 1700 003;EGRESOS EN PERSONAL;Servicios Personales por Contrato;297381,79;-41433,79;255948;0;20149,81;20149,81;0;235798,19;235798,19;20149,81;7,87;189
510601 1700 002;EGRESOS EN PERSONAL;Aporte Patronal;0;20111,41;20111,41;0;864,95;864,95;864,95;19246,46;19246,46;0;4,3;189
531404 0501 002;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;160;0;160;0;0;0;0;160;160;0;0;189
531407 2301 002;BIENES Y SERVICIOS DE CONSUMO;Equipos Sistemas y Paquetes Informaticos;250;-250;0;0;0;0;0;0;0;0;0;189
531601 2301 002;BIENES Y SERVICIOS DE CONSUMO;Fondos de Reposicion Cajas Chicas;1413,5;-863,5;550;0;0;0;0;550;550;0;0;189
530104 0501 003;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;24117,78;0;24117,78;0;0;0;0;24117,78;24117,78;0;0;189
530204 1705 001;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;349728,74;-152603,35;197125,39;0;0;0;0;197125,39;197125,39;0;0;189
530209 2301 001;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;93110,83;-1611,06;91499,77;0;0;0;0;91499,77;91499,77;0;0;189
530210 1700 003;BIENES Y SERVICIOS DE CONSUMO;Servicio de Guarderia;60000;0;60000;0;4743;4743;4743;55257;55257;0;7,91;189
530226 0501 002;BIENES Y SERVICIOS DE CONSUMO;Servicios Medicos Hospitalarios y Complementarios;15532,41;0;15532,41;0;0;0;0;15532,41;15532,41;0;0;189
530226 1705 002;BIENES Y SERVICIOS DE CONSUMO;Servicios Medicos Hospitalarios y Complementarios;0;4800;4800;0;0;0;0;4800;4800;0;0;189
530239 1705 002;BIENES Y SERVICIOS DE CONSUMO;Membrecias;10325;-7125;3200;0;0;0;0;3200;3200;0;0;189
530243 1705 001;BIENES Y SERVICIOS DE CONSUMO;Garantia Extendida de Bienes;44438;-44438;0;0;0;0;0;0;0;0;0;189
530243 2301 002;BIENES Y SERVICIOS DE CONSUMO;Garantia Extendida de Bienes;545;773,48;1318,48;0;0;0;0;1318,48;1318,48;0;0;189
530246 0501 001;BIENES Y SERVICIOS DE CONSUMO;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;7200;0;7200;0;0;0;0;7200;7200;0;0;189
530249 1705 003;BIENES Y SERVICIOS DE CONSUMO;Eventos Publicos Promocionales;30000;0;30000;0;0;0;0;30000;30000;0;0;189
530255 0501 001;BIENES Y SERVICIOS DE CONSUMO;Combustibles;10890;0;10890;0;0;0;0;10890;10890;0;0;189
530255 1705 003;BIENES Y SERVICIOS DE CONSUMO;Combustibles;0;1040,33;1040,33;0;0;0;0;1040,33;1040,33;0;0;189
530255 0501 003;BIENES Y SERVICIOS DE CONSUMO;Combustibles;0;0;0;0;0;0;0;0;0;0;0;189
530304 1705 002;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Exterior;71410;35817,99;107227,99;0;0;0;0;107227,99;107227,99;0;0;189
530304 1705 003;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Exterior;10438,07;-10438,07;0;0;0;0;0;0;0;0;0;189
530402 1705 002;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);440921,81;28429,19;469351;0;340275;0;0;129076;469351;0;0;189
530402 0501 002;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);51990;0;51990;0;0;0;0;51990;51990;0;0;189
530405 2301 002;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);20;-20;0;0;0;0;0;0;0;0;0;189
530417 1705 003;BIENES Y SERVICIOS DE CONSUMO;Infraestructura;0;0;0;0;0;0;0;0;0;0;0;189
530606 2301 002;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;0;4550;4550;0;0;0;0;4550;4550;0;0;189
530609 1705 002;BIENES Y SERVICIOS DE CONSUMO;Investigaciones Profesionales y Analisis de Laboratorio;2000;11796;13796;0;0;0;0;13796;13796;0;0;189
530704 0501 002;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;0;0;0;0;0;0;0;0;0;0;0;189
530802 1705 002;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;125235,81;71364,19;196600;0;0;0;0;196600;196600;0;0;189
530803 1705 003;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;0;932,3;932,3;0;0;0;0;932,3;932,3;0;0;189
530805 1705 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;111237,73;-50511,93;60725,8;0;0;0;0;60725,8;60725,8;0;0;189
530805 2301 002;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;946,03;4211,05;5157,08;0;0;0;0;5157,08;5157,08;0;0;189
530805 1705 003;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;0;2679,32;2679,32;0;0;0;0;2679,32;2679,32;0;0;189
530809 1705 002;BIENES Y SERVICIOS DE CONSUMO;Medicamentos;4107,38;1400;5507,38;0;0;0;0;5507,38;5507,38;0;0;189
530810 1705 003;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;0;442,83;442,83;0;0;0;0;442,83;442,83;0;0;189
530811 0501 002;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;8250;0;8250;0;0;0;0;8250;8250;0;0;189
530811 1705 003;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;3867;22911,57;26778,57;0;0;0;0;26778,57;26778,57;0;0;189
530820 1705 002;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;131897,88;-28397,88;103500;0;0;0;0;103500;103500;0;0;189
530820 0501 002;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;7600;0;7600;0;0;0;0;7600;7600;0;0;189
530820 1705 003;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;0;4700;4700;0;0;0;0;4700;4700;0;0;189
530823 2301 002;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;5512,9;-3418,9;2094;0;0;0;0;2094;2094;0;0;189
530826 1705 003;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;0;6000;6000;0;0;0;0;6000;6000;0;0;189
570301 1705 002;OTROS EGRESOS CORRIENTES;Dietas;2000;0;2000;0;0;0;0;2000;2000;0;0;189
730404 1705 001;BIENES Y SERVICIOS PARA INVERSION;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);1120,05;0;1120,05;0;0;0;0;1120,05;1120,05;0;0;189
730702 1705 001;BIENES Y SERVICIOS PARA INVERSION;Arrendamiento y Licencias de Uso de Paquetes Informaticos;25000;0;25000;0;0;0;0;25000;25000;0;0;189
840104 1705 002;EGRESOS DE CAPITAL;Maquinarias y Equipos;18733,69;257294,68;276028,37;0;0;0;0;276028,37;276028,37;0;0;189
840111 1705 003;EGRESOS DE CAPITAL;Partes y Repuestos;0;739,13;739,13;0;0;0;0;739,13;739,13;0;0;189
990101 1700 002;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos de Personal;0;6000;6000;0;0;0;0;6000;6000;0;0;189
990102 1705 001;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos en Servicios;0;72866,28;72866,28;0;0;0;0;72866,28;72866,28;0;0;189
