CODIGOG3;DESCRIPCIONG2;DESCRIPCIONG3;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecuci?
530402 2301 001;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);58469,84;0;58469,84;0;0;0;0;58469,84;58469,84;0;0;189
530404 1705 002;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);139352,41;60203,79;199556,2;0;8498,9;0;0;191057,3;199556,2;0;0;189
530404 0501 002;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);3482,6;0;3482,6;0;0;0;0;3482,6;3482,6;0;0;189
530404 2301 002;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);9300;13850;23150;0;0;0;0;23150;23150;0;0;189
530405 2301 001;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);9893,78;4824,98;14718,76;0;0;0;0;14718,76;14718,76;0;0;189
530405 1705 001;BIENES Y SERVICIOS DE CONSUMO;Vehiculos (Servicio para Mantenimiento y Reparacion);860;340;1200;0;0;0;0;1200;1200;0;0;189
530601 2301 001;BIENES Y SERVICIOS DE CONSUMO;Consultoria Asesoria e Investigacion Especializada;0;20000;20000;0;0;0;0;20000;20000;0;0;189
530601 1705 003;BIENES Y SERVICIOS DE CONSUMO;Consultoria Asesoria e Investigacion Especializada;0;110000;110000;0;0;0;0;110000;110000;0;0;189
530606 1705 002;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;1118290,49;-627155,14;491135,35;0;0;0;0;491135,35;491135,35;0;0;189
530701 1705 002;BIENES Y SERVICIOS DE CONSUMO;Desarrollo Actualizacion Asistencia Tecnica y Soporte de Sistemas Informaticos;461882,94;-212001,94;249881;0;0;0;0;249881;249881;0;0;189
530702 0501 002;BIENES Y SERVICIOS DE CONSUMO;Arrendamiento y Licencias de Uso de Paquetes Informaticos;6000;0;6000;0;0;0;0;6000;6000;0;0;189
530803 1705 002;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;29264,4;1622,66;30887,06;0;0;0;0;30887,06;30887,06;0;0;189
530803 0501 001;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;3000;0;3000;0;0;0;0;3000;3000;0;0;189
530804 1705 003;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;3750;2016,43;5766,43;0;0;0;0;5766,43;5766,43;0;0;189
530804 2301 001;BIENES Y SERVICIOS DE CONSUMO;Materiales de Oficina;0;774,48;774,48;0;0;0;0;774,48;774,48;0;0;189
530805 2301 001;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;0;890;890;0;0;0;0;890;890;0;0;189
530809 2301 001;BIENES Y SERVICIOS DE CONSUMO;Medicamentos;3562,12;-10,5;3551,62;0;0;0;0;3551,62;3551,62;0;0;189
530810 2301 001;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;115,76;-115,76;0;0;0;0;0;0;0;0;0;189
530813 1705 001;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;214726,83;-150967,83;63759;0;0;0;0;63759;63759;0;0;189
530813 0501 001;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;14932;0;14932;0;0;0;0;14932;14932;0;0;189
530813 2301 002;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;7767,36;15728,96;23496,32;0;0;0;0;23496,32;23496,32;0;0;189
530820 1705 001;BIENES Y SERVICIOS DE CONSUMO;Menaje y Accesorios Descartables;0;4617;4617;0;0;0;0;4617;4617;0;0;189
530826 2301 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;1623,92;-142,82;1481,1;0;0;0;0;1481,1;1481,1;0;0;189
530832 1705 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Odontologia;5543,6;0;5543,6;0;0;0;0;5543,6;5543,6;0;0;189
570102 2301 001;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;1260;640;1900;0;0;0;0;1900;1900;0;0;189
570203 1705 003;OTROS EGRESOS CORRIENTES;Comisiones Bancarias;0;2000;2000;0;0;0;0;2000;2000;0;0;189
580208 1705 002;TRANSFERENCIAS O DONACIONES CORRIENTES;Becas y Ayudas Economicas;0;155000;155000;0;0;0;0;155000;155000;0;0;189
730204 0501 001;BIENES Y SERVICIOS PARA INVERSION;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;0;0;0;0;0;0;0;0;0;0;0;189
730606 0501 001;BIENES Y SERVICIOS PARA INVERSION;Honorarios por Contratos Civiles de Servicios;0;0;0;0;0;0;0;0;0;0;0;189
730813 1705 001;BIENES Y SERVICIOS PARA INVERSION;Repuestos y Accesorios;5844,95;0;5844,95;0;0;0;0;5844,95;5844,95;0;0;189
840103 1705 003;EGRESOS DE CAPITAL;Mobiliarios;266330,72;-232203,72;34127;0;0;0;0;34127;34127;0;0;189
840104 1705 001;EGRESOS DE CAPITAL;Maquinarias y Equipos;517096,19;-25802,42;491293,77;0;0;0;0;491293,77;491293,77;0;0;189
840104 2301 002;EGRESOS DE CAPITAL;Maquinarias y Equipos;0;9585;9585;0;0;0;0;9585;9585;0;0;189
990102 1705 003;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos en Servicios;0;154000;154000;0;0;0;0;154000;154000;0;0;189
510204 1800 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;940;-940;0;0;0;0;0;0;0;0;0;189
510408 1700 003;EGRESOS EN PERSONAL;Subsidio de Antiguedad;23850;150;24000;0;2073,59;2073,59;2073,59;21926,41;21926,41;0;8,64;189
510517 1700 003;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Profesionales de la Salud;0;72700;72700;0;4764;4764;0;67936;67936;4764;6,55;189
510602 1700 003;EGRESOS EN PERSONAL;Fondo de Reserva;3144660,6;75017,91;3219678,51;0;343,11;343,11;72,63;3219335,4;3219335,4;270,48;0,01;189
531406 2301 001;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;204;-204;0;0;0;0;0;0;0;0;0;189
