Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Instrumental Medico Quirurgico;1154,5;1310,5;2465;1665;800;800;800;1665;1665;0;32,45;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;60980,62;-30453,99;30526,63;2946,31;24767,56;24767,56;24767,56;5759,07;5759,07;0;81,13;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;15720,98;27786,03;43507,01;11812,91;8062,7;8062,7;8062,7;35444,31;35444,31;0;18,53;;;;;;;;;;;;
560000;EGRESOS FINANCIEROS;Sector Publico Financiero;3558,3;-3558,3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
570000;OTROS EGRESOS CORRIENTES;Indemnizaciones por Sentencias Judiciales;0;48694,16;48694,16;0;0;0;0;48694,16;48694,16;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Viaticos y Subsistencias en el Exterior;17586,11;1440,23;19026,34;2500;547,23;0;0;18479,11;19026,34;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Atencion a Delegados Extranjeros y Nacionales Deportistas Entrenadores y Cuerpo Tecnico que Representen al Pais;29286,41;28393,73;57680,14;37013,99;0;0;0;57680,14;57680,14;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Consultoria Asesoria e Investigacion Especializada;28280,54;-26780,54;1500;0;1500;1500;1500;0;0;0;100;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Servicio de Auditoria;5802,14;-5802,14;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Egresos para Sanidad Agropecuaria;0;7671,25;7671,25;6255,2;0;0;0;7671,25;7671,25;0;0;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Herramientas y Equipos Menores;937;1176,68;2113,68;1864,43;70;70;70;2043,68;2043,68;0;3,31;;;;;;;;;;;;
730000;BIENES Y SERVICIOS PARA INVERSION;Semovientes;750;-750;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
770000;OTROS EGRESOS DE INVERSION;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;1000;1000;2000;1878;122;122;122;1878;1878;0;6,1;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;3287517,85;-330116,17;2957401,68;0;963617,59;963617,59;870903,48;1993784,09;1993784,09;92714,11;32,58;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Encargos;16171,19;5128,81;21300;0;15405,74;15405,74;15405,74;5894,26;5894,26;0;72,33;;;;;;;;;;;;
510000;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones ;242343,66;-28022,32;214321,34;0;134125,48;134125,48;134125,48;80195,86;80195,86;0;62,58;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Indumentaria Prendas de proteccion Accesorios y Otros;3000;550;3550;2300;0;0;0;3550;3550;0;0;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Capacitacion a Servidores Publicos;198001,88;-4861,02;193140,86;104502,97;76220;76220;76220;116920,86;116920,86;0;39,46;;;;;;;;;;;;
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;2927,5;-2373,1;554,4;0;554,4;554,4;554,4;0;0;0;100;;;;;;;;;;;;
