Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles;;;;;;;;;;;;;;;;;;;;;;;
VICERRECTORADO DE INVESTIGACIÓN Y POSGRADO;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH;REEMBOLSO BECAS DE DOCTORADO ASIGNADAS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;CONVOCATORIA BECAS DE DOCTORADO;100%;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE INVESTIGACIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE PUBLICACIONES;FORTALECER LOS LABORATORIOS DE LA CARRERA DE MEDICINA MEDIANTE DOTACION DE REACTIVOS, INSUMOS, MATERIALES Y EQUIPOS QUE GARANTIZARA EL APRENDIZAJE TEORICO Y PRACTICO EN LA ACADEMIA;PUBLICACION DE PRODUCCION CIENTIFICA;100%;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE INNOVACIÓN, EMPRENDIMIENTO Y TRANSFERENCIA DE TECNOLOGÍA;FOMENTAR LA PARTICIPACION DE LA COMUNIDAD POLITECNICA EN ACTIVIDADES RELACIONADAS CON LA INNNOVACION, EMPRENDIMIENTO Y TRANSFERENCIA TECNOLOGICA;IDEA ESPOCH INN-GENIUS 2024;4;;;;;;;;;;;;;;;;;;;;;;;;
;;ALIADOS ESTRATEGICOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;EVENTOS ACADEMICOS;2;;;;;;;;;;;;;;;;;;;;;;;;
COORDINACIÓN DE EDUCACIÓN CONTINUA;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;EVENTOS DE EDUCACION CONTINUA;12;;;;;;;;;;;;;;;;;;;;;;;;
;;EVENTOS DE EDUCACION CONTINUA SIN PRESUPUESTO;3;;;;;;;;;;;;;;;;;;;;;;;;
DECANATO DE VINCULACIÓN;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;INFORME DE RENDICION DE CUENTAS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;FUENTES DE INFORMACION PARA CERTIFICACIONES INTERNACIONALES;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;GESTION DEL DECANATO DE VINCULACION;100%;;;;;;;;;;;;;;;;;;;;;;;;
VICERRECTORADO ADMINISTRATIVO;SOCIALIZAR DE SERVICIOS DE BIENESTAR ESTUDIANTIL, SERVICIOS ADMINISTRATIVOS, TALENTO HUMANO Y CODIGO DE ETICA;SOCIALIZACION DE SERVICIOS DE BIENESTAR ESTUDIANTIL, SERVICIOS ADMINISTRATIVOS, TALENTO HUMANO Y CODIGO DE ETICA;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCION DE BIENESTAR ESTUDIANTIL Y POLITÉCNICO;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;TRABAJADORES, EMPLEADOS, DOCENTES QUE CUENTAN CON FICHA DE TRABAJO SOCIAL;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;ESTUDIANTES POLITECNICOS QUE CUENTAN CON FICHA SOCIOESTUDIANTIL;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;BECAS Y AYUDAS ECONOMICAS OTORGADAS;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;SEGURO DE VIDA Y ACCIDENTES PERSONALES PARA LAS Y LOS ESTUDIANTES DE LA ESPOCH;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE TALENTO HUMANO;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;NOMINA INSTITUCIONAL;12;;;;;;;;;;;;;;;;;;;;;;;;
;;CAPACITACIONES;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;INFORME DE EVALUACION DE DESEMPENO DEL PERSONAL ADMINISTRATIVO Y DE SERVICIOS;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN ADMINISTRATIVA;FORTALECER LOS PROCESOS Y GESTIONAR LOS RECURSOS PARA LA CONSECUCION DE LOS OBJETIVOS DE LA ESPOCH;REPRESENTACION INSTITUCION;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;OPERATIVA INSTITUCIONAL;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE INFRAESTRUCTURA Y MANTENIMIENTO;FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA ACADEMICA Y ADMINISTRATIVA;DE LA INFRAESTRUCTURA FISICA INSTITUCIONAL EXISTENTE;100%;;;;;;;;;;;;;;;;;;;;;;;;
DIRECCIÓN DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACIÓN;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;ACTUALIZACION DE MATERIAL BIBLIOGRAFICO FISICO DE ACUERDO A LA NECESIDAD INSTITUCION;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;POLITICAS, NORMAS Y REGLAMENTOS PARA LOS SERVICIOS Y PROCEDIMEINTOS DE LA DBRAI;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;SERVICIOS Y RECURSOS PARA USUARIOS CON DISCAPACIDADES;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;DIGITALIZACION DE MATERIAL BIBLIOGRAFICO;100%;;;;;;;;;;;;;;;;;;;;;;;;
;;ARCHIVO HISTORICO;100%;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO DE DEPORTES;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;MANTENIMIENTO DE LOS ESCENARIOS DEPORTIVOS;2;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO DE ARTE, CULTURA E INTERCULTURALIDAD;FORTALECER LA GESTIÃN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;TALLERES DE FORMACION ARTISTICA;9;;;;;;;;;;;;;;;;;;;;;;;;
;;AGRUPACIONES ARTISTICAS;9;;;;;;;;;;;;;;;;;;;;;;;;
UNIDAD DE BIENES Y BODEGA;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;PORCENTAJE DE CONSTATACIONES FISICAS;100%;;;;;;;;;;;;;;;;;;;;;;;;
