Numeracion;Puesto Institucional;Regimen laboral al que pertenece;Numero de partida presupuestaria;Grado jerarquico o escala al que pertenece el puesto;Remuneracin mensual unificada;Remuneracion unificada (anual);Decimo Tercera Remuneracion;Decima Cuarta Remuneracion;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1863;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1864;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1865;TECNICO (A) DE LABORATORIO 4 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;133.097,00;1.597.164,00;133.097,00;482;0;0;133.579,00
1866;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1867;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1868;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1869;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1870;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1871;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1872;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1873;TECNICO (A) DE LABORATORIO 3 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;120.213,00;1.442.556,00;120.213,00;482;0;0;120.695,00
1874;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1875;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1876;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1877;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1878;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1879;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1880;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1881;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1882;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1883;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;108.577,00;1.302.924,00;108.577,00;482;0;0;109.059,00
1884;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1885;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1886;TECNICO (A) DOCENTE 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;98.067,00;1.176.804,00;98.067,00;482;0;0;98.549,00
1887;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
1888;PROFESOR/A OCASIONAL TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;4.886,00;58.632,00;4.886,00;482;0;0;5.368,00
1889;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;221.435,00;2.657.220,00;221.435,00;482;0;0;221.917,00
1890;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1891;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;18.064,00;216.768,00;18.064,00;482;0;0;18.546,00
1892;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;0;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
