Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1040;ANALISTA DE SOPORTE Y MANTENIMIENTO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2641;UEP NIVEL PROFESIONAL A3;1281,26;5.125,04;960,93;344,97;0;0;1.305,90
1041;ANALISTA DE FISCALIZACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2824;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1042;COORDINADOR/A ACADEMICO/A DE SEDE;3.OTROS REGIMENES ESPECIALES;6;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
1043;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23861;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1044;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;511;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
1045;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23774;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
1046;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;1155;PERSONAL ACADEMICO PRINCIPAL;4284,59;17.138,36;3.213,45;344,97;0;0;3.558,42
1047;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23862;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1048;ANALISTA DE PLANIFICACION OPERATIVA 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2728;UEP NIVEL PROFESIONAL A3;1500;6.000,00;1.125,00;344,97;0;0;1.469,97
1049;CONSERJE;2.CODIGO DEL TRABAJO;250;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
1050;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;280;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
1051;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2895;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
1052;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23863;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1053;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23971;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1054;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23864;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1055;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23904;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1056;ALBANIL;2.CODIGO DEL TRABAJO;336;NIVEL 2;578;2.312,00;433,53;344,97;0;0;778,5
1057;CONSERJE;2.CODIGO DEL TRABAJO;301;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
1058;CONTROLADOR OPERACIONAL;2.CODIGO DEL TRABAJO;251;NIVEL 2;817;3.268,00;612,72;344,97;74,8;0;1.032,49
