Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
389;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23634;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
390;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23562;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
391;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23306;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
392;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;430;PERSONAL ACADEMICO PRINCIPAL;3908,07;15.632,28;2.931,03;344,97;0;0;3.276,00
393;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;80;NIVEL 1;661,31;2.645,24;495,99;344,97;0;0;840,96
394;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2954;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
395;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23486;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
396;ASISTENTE DE PROYECTOS Y TRANSFERENCIA DE LA TECNOLOGIA;1.SERVICIO CIVIL PUBLICO (LOSEP);578;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
397;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23459;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
398;ANALISTA DE VINCULACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2963;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
399;ANALISTA GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2528;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
400;CONSERJE;2.CODIGO DEL TRABAJO;497;NIVEL 1;762,42;3.049,68;571,86;344,97;0;0;916,83
401;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;435;PERSONAL ACADEMICO PRINCIPAL;3343,28;13.373,12;2.507,49;344,97;0;0;2.852,46
402;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23851;PROFESOR UNIVERSITARIO;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
403;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23136;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
404;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23441;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
405;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23460;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
406;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;22843;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
407;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23579;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
408;ASISTENTE DE OPERADOR DE EQUIPOS Y/O MAQUINARIA;2.CODIGO DEL TRABAJO;226;NIVEL 1;557;2.228,00;417,78;344,97;44,66;0;807,41
409;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23137;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
410;TECNICO DOCENTE 5;3.OTROS REGIMENES ESPECIALES;2654;PERSONAL DE APOYO (UNIVERSIDADES);1908;7.632,00;1.431,00;344,97;0;0;1.775,97
411;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23917;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
412;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;22559;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
413;ANALISTA DE COMUNICACION Y RELACIONES PUBLICAS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2950;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
414;CONSERJE;2.CODIGO DEL TRABAJO;267;NIVEL 1;557;2.228,00;417,78;344,97;12,76;0;775,51
415;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23138;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
416;TECNICO DOCENTE 5;3.OTROS REGIMENES ESPECIALES;2588;PERSONAL DE APOYO (UNIVERSIDADES);1908;7.632,00;1.431,00;344,97;0;0;1.775,97
417;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23635;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
418;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;22842;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
419;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23307;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
420;ALBANIL;2.CODIGO DEL TRABAJO;337;NIVEL 2;578;2.312,00;433,53;344,97;0;0;778,5
421;AUXILIAR DE ARCHIVO;2.CODIGO DEL TRABAJO;255;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
422;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23461;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
423;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;22562;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
424;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23563;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
425;CONSERJE;2.CODIGO DEL TRABAJO;254;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
426;CHOFER;2.CODIGO DEL TRABAJO;441;NIVEL 3;807,47;3.229,88;605,61;344,97;158,76;0;1.109,34
427;ANALISTA DE SOPORTE Y MANTENIMIENTO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2657;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
428;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23462;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
429;AUXILIAR DE ENFERMERIA;2.CODIGO DEL TRABAJO;293;NIVEL 7;752;3.008,00;564,03;344,97;0;0;909
430;ASESOR 3;1.SERVICIO CIVIL PUBLICO (LOSEP);46;UEP NIVEL DIRECTIVO A2;2734;10.936,00;2.050,47;344,97;0;0;2.395,44
431;TECNICO GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2677;UEP NIVEL NO PROFESIONAL A4;901;3.604,00;675,72;344,97;0;0;1.020,69
432;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23317;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
433;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;585;PERSONAL ACADEMICO AUXILIAR;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
434;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1695;PERSONAL ACADEMICO AGREGADO;3744,7;14.978,80;2.808,54;344,97;0;0;3.153,51
435;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2845;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
436;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23580;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
437;ANALISTA DE GESTION ESTRATEGICA PARA INVESTIGACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2819;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
438;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;460;PERSONAL ACADEMICO PRINCIPAL;4025,42;16.101,68;3.019,05;344,97;0;0;3.364,02
439;DECANO/A DE INVESTIGACIONES;3.OTROS REGIMENES ESPECIALES;2467;AUTORIDADES ACADEMICAS NIVEL 2;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
440;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23539;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
441;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;475;PERSONAL ACADEMICO PRINCIPAL;5179,14;20.716,56;3.884,40;344,97;0;0;4.229,37
442;ANALISTA DE SEGURIDAD INFORMATICA 3;1.SERVICIO CIVIL PUBLICO (LOSEP);2603;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
443;AYUDANTE DE BODEGA;2.CODIGO DEL TRABAJO;291;NIVEL 1;557;2.228,00;417,78;344,97;12,76;0;775,51
444;CONSERJE;2.CODIGO DEL TRABAJO;187;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
445;AYUDANTE DE MECANICA;2.CODIGO DEL TRABAJO;463;NIVEL 1;684,87;2.739,48;513,63;344,97;0;0;858,6
446;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23308;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
447;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;485;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
448;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23719;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
449;CONSERJE;2.CODIGO DEL TRABAJO;228;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
450;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;490;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
451;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23820;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
452;ANALISTA GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2514;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
453;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;500;PERSONAL ACADEMICO PRINCIPAL;3438,08;13.752,32;2.578,59;344,97;0;0;2.923,56
454;TECNICO GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2701;UEP NIVEL NO PROFESIONAL A4;901;3.604,00;675,72;344,97;0;0;1.020,69
455;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;505;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
456;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23852;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
457;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;510;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
458;DIRECTOR/A DE SEDE;3.OTROS REGIMENES ESPECIALES;2115;AUTORIDADES ACADEMICAS NIVEL 2;3196,02;12.784,08;2.397,06;344,97;0;0;2.742,03
459;ANALISTA DE TALENTO HUMANO 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2726;UEP NIVEL PROFESIONAL A3;1500;6.000,00;1.125,00;344,97;0;0;1.469,97
460;ANALISTA DE PUBLICACIONES 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2914;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
461;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23564;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
462;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23918;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
463;ANALISTA DE PLANIFICACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2919;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
464;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;520;PERSONAL ACADEMICO PRINCIPAL;4306,13;17.224,52;3.229,56;344,97;0;0;3.574,53
465;SUBDECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2144;AUTORIDADES ACADEMICAS NIVEL 1;3883,85;15.535,40;2.912,85;344,97;0;0;3.257,82
466;ASISTENTE DE INVESTIGACION;1.SERVICIO CIVIL PUBLICO (LOSEP);2766;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
467;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23919;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
468;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23853;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
469;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2090;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
470;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23463;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
471;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;375;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
472;SUBDECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2140;AUTORIDADES ACADEMICAS NIVEL 1;3883,85;15.535,40;2.912,85;344,97;0;126,69;3.384,51
473;ANALISTA ADMINISTRATIVO/A DE COMPRAS PUBLICAS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2776;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
474;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23487;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
475;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;480;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
476;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;410;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
477;ANALISTA DE TALENTO HUMANO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2772;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
478;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23684;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
479;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;313;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
480;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;540;PERSONAL ACADEMICO PRINCIPAL;4661,12;18.644,48;3.495,87;344,97;0;0;3.840,84
481;CONSERJE;2.CODIGO DEL TRABAJO;274;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
482;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23771;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
483;ANALISTA DE TESORERIA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2865;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
484;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;545;PERSONAL ACADEMICO PRINCIPAL;3210,2;12.840,80;2.407,68;344,97;0;0;2.752,65
485;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23821;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
486;GUARDALMACEN;1.SERVICIO CIVIL PUBLICO (LOSEP);2670;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
487;ASISTENTE ADMINISTRATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2862;UEP NIVEL ADMINISTRATIVO A5;622;2.488,00;466,47;344,97;0;0;811,44
488;CONSERJE;2.CODIGO DEL TRABAJO;223;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
489;CONSERJE;2.CODIGO DEL TRABAJO;435;NIVEL 1;574;2.296,00;430,47;344,97;0;0;775,44
490;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23581;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
491;ANALISTA DE NOMINA Y REMUNERACIONES 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2742;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
492;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23854;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
493;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23636;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
494;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23685;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
495;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23582;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
496;TECNICO GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2502;UEP NIVEL NO PROFESIONAL A4;901;3.604,00;675,72;344,97;0;0;1.020,69
497;CONSERJE;2.CODIGO DEL TRABAJO;476;NIVEL 1;1000,29;4.001,16;750,24;344,97;20,8;0;1.116,01
498;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23637;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
499;CONSERJE;2.CODIGO DEL TRABAJO;220;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
500;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;175;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
501;PROFESOR PRINCIPAL 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;560;PERSONAL ACADEMICO PRINCIPAL;5300;21.200,00;3.975,03;344,97;0;0;4.320,00
502;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23638;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
503;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23309;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
504;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23327;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
505;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23686;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
506;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23920;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
507;TECNICO GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2731;UEP NIVEL NO PROFESIONAL A4;901;3.604,00;675,72;344,97;0;0;1.020,69
508;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23290;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
509;ANALISTA DE GESTION AMBIENTAL DE INFRAESTRUCTURA  3;1.SERVICIO CIVIL PUBLICO (LOSEP);2756;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
510;ANALISTA DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2542;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
511;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23464;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
512;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;570;PERSONAL ACADEMICO PRINCIPAL;3908,07;15.632,28;2.931,03;344,97;0;0;3.276,00
513;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23772;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
514;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23488;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
515;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;575;PERSONAL ACADEMICO PRINCIPAL;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
516;DECANO/A DE PUBLICACIONES;3.OTROS REGIMENES ESPECIALES;2468;AUTORIDADES ACADEMICAS NIVEL 2;4818,96;19.275,84;3.614,22;344,97;0;0;3.959,19
517;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23755;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
518;ASISTENTE DE OPERADOR DE EQUIPOS Y/O MAQUINARIA;2.CODIGO DEL TRABAJO;328;NIVEL 2;578;2.312,00;433,53;344,97;52,8;0;831,3
519;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2040;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
520;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23639;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
521;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23139;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
522;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23112;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
523;ANALISTA DE CONTABILIDAD 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2559;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
524;ANALISTA GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2517;UEP NIVEL PROFESIONAL A3;1086;4.344,00;814,5;344,97;0;0;1.159,47
525;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23855;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
526;ANALISTA ADMINISTRATIVO/A DE COMPRAS PUBLICAS 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2792;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
527;CONSERJE;2.CODIGO DEL TRABAJO;185;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
528;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23489;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
529;CHOFER;2.CODIGO DEL TRABAJO;536;NIVEL 3;596;2.384,00;447,03;344,97;0;0;792
530;CONSERJE;2.CODIGO DEL TRABAJO;447;NIVEL 1;1038,06;4.152,24;778,59;344,97;0;0;1.123,56
531;ANALISTA DE BIBLIOTECAS Y RECURSOS DEL APRENDIZAJE Y LA INVESTIGACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2540;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
532;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23465;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
533;PROFESOR AGREGADO 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;595;PERSONAL ACADEMICO AGREGADO;3400;13.600,00;2.549,97;344,97;0;0;2.894,94
534;ANALISTA DE PLANIFICACION 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2936;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
