TIPO;RESOLUCIÓN ;CONVENIO ;FECHA DE SUSCRIPCIÓN ;DURACIÓN;Enlace para descargar el convenio ;;;;;;;;;;;;;;;;;
NACIONAL;184.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE LORETO;"15-05-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;185.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ASOCIACIÓN DE FÚTBOL NO AFICIONADO DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, PARA FORTALECER LA FORMACIÓN ACADÉMICA DE LOS ESTUDIANTES DE GRADO Y POSGRADO MEDIANTE LA REALIZACIÓN DE PRÁCTICAS PRE PROFESIONALES Y PROFESIONALES;"08-05-2024









";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;187.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE EL INSTITUTO SUPERIOR TECNOLÓGICO TUNGURAHUA Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO PARA ESTABLECER MECANISMOS DE COORDINACIÓN, INTERACCIÓN, COOPERACIÓN Y RECIPROCIDAD ENTRE LAS DOS INSTITUCIONES, PROMOVIENDO LA REALIZACIÓN DE ACTIVIDADES DE INTERÉS Y BENEFICIO MUTUO A TRAVÉS DE OBLIGACIONES CONJUNTAS, CON EL PROPÓSITO DE DESARROLLAR ACTIVIDADES QUE PERMITAN AMPLIAR CONOCIMIENTOS E IMPULSAR LA FORMACIÓN DE ESTUDIANTES DE LOS INSTITUTOS TÉCNICOS Y TECNOLÓGICOS DENTRO DEL ÁMBITO DE COMPETENCIA TANTO DEL INSTITUTO COMO DE LA COOPERANTE;"13/05/2024

";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;188.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA EMPRESA EXIBAL CÍA. LTDA. PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “DETERMINACIÓN DE LA EFICIENCIA ALIMENTARIA EN BASE AL CONSUMO RESIDUAL DE ALIMENTO (RFI) EN GANADO LECHERO;"13/04/2024




";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;189.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL PARA LAS PRÁCTICAS DE FORMACIÓN ACADÉMICA ENTRE LA COORDINACIÓN ZONAL 3 DE SALUD Y LA ESCUELA SUPERIOR POLITÉCNICA DEL CHIMBORAZO DE LA CARRERA DE MEDICINA;"30/04/2024




";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;211.CP.2024;"CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESPOCH Y LA PASTORAL SOCIAL CÁRITAS DE RIOBAMBA, PARA LA EJECUCIÓN DEL PROYECTO DE VINCULACIÓN ""BANCO DE ALIMENTOS RIOBAMBA";"02-07-2024









";2 AÑOS ;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;230.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO ESPOCH Y BIOMATEK S.A.S. PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “UN MODELO DE ECOLOGÍA INDUSTRIAL EN LA ESTACIÓN EXPERIMENTAL TUNSHI PARA LA VALORIZACIÓN DE RESIDUOS AGRÍCOLAS EN LA PRODUCCIÓN DE HONGOS COMESTIBLES;"16/05/2024

";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;260.CP.2024;CONVENIO ESPECÍFICO ENTRE LA UNIVERSIDAD DE ANTIOQUIA, FACULTAD DE INGENIERÍA (COLOMBIA) Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO (ESPOCH), FACULTAD DE MECÁNICA (ECUADOR);"12/06/2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;264.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE FEDEPAL CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"23/07/2024



";2 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;265.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA FUNDACIÓN OPERACIÓN SONRISA ECUADOR Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"05/06/2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
NACIONAL;266.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y NOVA ENGLISH ACADEMY;"08/05/2024



";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr;;;;;;;;;;;;;;;;;
