Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
DIRECCIÓN DE ADMISIÓN Y NIVELACIÓN;FORTALECER LOS PROCESOS DE GESTION ACADÉMICA - ADMINISTRATIVA DE LA DIRECCIÓN DE ADMISIÓN Y NIVELACIÓN;CUPOS ACEPTADOS;70%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;CUPOS ASIGNADOS;80%;
;;CUPOS OFERTADOS;100%;
COORDINACIÓN DE IDIOMAS;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;ESTUDIANTES CON CERTIFICACION INTERNACIONAL;70%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;CARGAS HORARIAS ORGANIZADAS;4;
VICERRECTORADO DE INVESTIGACIÓN Y POSGRADO;"PROMOVER EL DESARROLLO DE LA INVESTIGACIÓN, LA INNOVACIÓN Y LA DIFUSIÓN CIENTÍFICA EN LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO MEDIANTE ACCIONES QUE FORTALEZCAN SUS CAPACIDADES INSTITUCIONALES
";PORCENTAJE DE BECAS DE DOCTORADO Y POSDOCTORADO OTORGADAS Y EJECUTADAS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;PROGRAMAS DE MOVILIDAD ENTRANTE APROBADOS;100%;
DECANATO DE INVESTIGACIONES;TRATAR SUELOS MEDIANTE TECNICAS DE BIORREMEDIACION EMPLEANDO COMPOST DE RESIDUOS AGROINDUSTRIALES;NSTRUMENTOS TECNICOS DEL LEVANTAMIENTO DE LA INFORMACION: HOJAS DE ENTREVISTAS / ENCUESTAS, GEOREFERENCIACION, LISTAS DE CHEQUEO.;3;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;NUMERO DE EMPRESAS LECHERAS DE LA ZONA;3;
DECANATO DE PUBLICACIONES;APOYAR A DOCENTES E INVESTIGADORES DE LA ESPOCH CON LA PUBLICACION DE LA PRODUCCION CIENTIFICA;HASTA DICIEMBRE 2026 SE FINANCIARA EL 100% DE SOLICITUDES DE BECAS DE PUBLICACIONES Y PUBLICACION DE LIBROS CIENTIFICOS DIGITALES;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
