TIPO;RESOLUCIÓN ;CONVENIO ;FECHA DE SUSCRIPCIÓN ;DURACIÓN;Enlace para descargar el convenio 
NACIONAL;211.CP.2024;"CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESPOCH Y LA PASTORAL SOCIAL CÁRITAS DE RIOBAMBA, PARA LA EJECUCIÓN DEL PROYECTO DE VINCULACIÓN ""BANCO DE ALIMENTOS RIOBAMBA";"02-07-2024









";2 AÑOS ;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;230.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO ESPOCH Y BIOMATEK S.A.S. PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “UN MODELO DE ECOLOGÍA INDUSTRIAL EN LA ESTACIÓN EXPERIMENTAL TUNSHI PARA LA VALORIZACIÓN DE RESIDUOS AGRÍCOLAS EN LA PRODUCCIÓN DE HONGOS COMESTIBLES;"16/05/2024

";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;260.CP.2024;CONVENIO ESPECÍFICO ENTRE LA UNIVERSIDAD DE ANTIOQUIA, FACULTAD DE INGENIERÍA (COLOMBIA) Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO (ESPOCH), FACULTAD DE MECÁNICA (ECUADOR);"12/06/2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;264.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE FEDEPAL CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"23/07/2024



";2 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;265.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA FUNDACIÓN OPERACIÓN SONRISA ECUADOR Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"05/06/2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;266.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y NOVA ENGLISH ACADEMY;"08/05/2024



";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;287.CP.2024;"""CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL PARA EL ASESORAMIENTO Y CAPACITACIÓN DE LOS PROCESOS DE ACREDITACIÓN INTERNACIONAL DE CARRERAS Y PROGRAMAS ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL";"02-05-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;311.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA COMPAÑÍA RIOBAMBA BREWING CO. RBCO S.A.S Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, PARA FORTALECER LA FORMACIÓN ACADÉMICA DE LOS ESTUDIANTES DE LA CARRERA DE INGENIERÍA QUÍMICA MEDIANTE LA REALIZACIÓN DE PRÁCTICAS PRE PROFESIONALES Y TRABAJOS DE TITULACIÓN;"11/07/2024



";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;321.CP.2024;CONVENIO ENTRE LA ESPOCH Y LA UNIVERSIDAD ANDINA SIMÓN BOLÍVAR PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “PROBLEMAS CRÍTICOS, OPORTUNIDADES Y BUENAS PRÁCTICAS PARA PREVENIR Y RESPONDER A LA VIOLENCIA DE GÉNERO EN LA COMUNIDAD UNIVERSITARIA EN ECUADOR;"10/06/2024





";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;322.CP.2024;“ACUERDO DE COOPERACIOÌN INTERNACIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA UNIVERSIDAD DE WEST VIRGINIA;"7/06/2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;334.CP.2024;“Convenio de Colaboración entre la Fundación Ayuda en Acción con la Escuela Superior Politécnica de Chimborazo-ESPOCH (en el marco del Contrato de Subvención NDICI LA/2023/453-114 financiado por Unión Europea);"28-05-2024







";40 MESES;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;350.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA FUNDACIÓN CIUDADANAS DEL MUNDO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO”;"10-07-2024









";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;354.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y LA UNIVERSIDAD TÉCNICA DE MANABÍ, PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN “EVALUACIÓN DE LOS GLACIARES ANDINOS EN LOS VOLCANES CHIMBORAZO Y CARIHUAIRAZO, Y SU IMPACTO AMBIENTAL, SOCIAL Y CULTURAL, MEDIANTE ANÁLISIS MULTIVARIANTE.;"28-06-2024










";4 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
